date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:59:12	103/103	---M-Z	200	added ('OK')	text/plain	etag:%225f-37d5c4cdac180-gzip%22	http://web.cs.ucla.edu/robots.txt		(from )
22:59:12	574/574	---M-Z	200	added ('OK')	text/html	etag:%2223e-5620255378612-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/index.html	(from )
22:59:13	6322/6322	---M-Z	200	added ('OK')	text/html	etag:%2218b2-567880c8f6844-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/contents.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/contents.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/)
22:59:14	17324/17324	---M-Z	200	added ('OK')	text/html	etag:%2243ac-567880e6a0455-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/announcements.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/announcements.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/)
22:59:15	14866/14866	---M-Z	200	added ('OK')	text/html	etag:%223a12-567828e162832-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/syllabus.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/syllabus.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/contents.html)
22:59:16	7714/7714	---M-Z	200	added ('OK')	text/html	etag:%221e22-566ca18359b95-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/officehours.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/officehours.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/contents.html)
22:59:17	7326/7326	---M-Z	200	added ('OK')	text/html	etag:%221c9e-561d71ed8b3a4-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/requirements.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/requirements.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/contents.html)
22:59:18	3483/3483	---M-Z	200	added ('OK')	text/html	etag:%22d9b-5446e0fe3818f-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/integrity.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/integrity.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/contents.html)
22:59:21	3805/3805	---M-Z	200	added ('OK')	text/html	etag:%22edd-5653171b213ec-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/l2/index.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/l2/index.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/contents.html)
22:59:23	1933/1933	---M-Z	200	added ('OK')	text/html	etag:%2278d-56571c31d4522-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/talinks.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/talinks.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/contents.html)
22:59:23	1674/1674	---M-Z	200	added ('OK')	text/html	etag:%2268a-567807ff2409f-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/Worksheets/index.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/Worksheets/index.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/contents.html)
22:59:25	78672/78672	---M--	200	added ('OK')	application/pdf	etag:%2213350-561ae61b598a2%22	http://web.cs.ucla.edu/classes/winter18/cs32/Docs/agreement.pdf	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/Docs/agreement.pdf	(from http://web.cs.ucla.edu/classes/winter18/cs32/contents.html)
22:59:25	5157/5157	---M-Z	200	added ('OK')	text/html	etag:%221425-56756f52be86d-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/Projects/4/spec.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/Projects/4/spec.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/contents.html)
22:59:25	10562/10562	---M-Z	200	added ('OK')	text/html	etag:%222942-56677069c1b13-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/Projects/3/spec.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/Projects/3/spec.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/contents.html)
22:59:26	5982/5982	---M-Z	200	added ('OK')	text/html	etag:%22175e-566509d6fabed-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/Projects/3/faq.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/Projects/3/faq.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/contents.html)
22:59:27	9357/9357	---M-Z	200	added ('OK')	text/html	etag:%22248d-566132d130e8b-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/Projects/3/warmup.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/Projects/3/warmup.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/contents.html)
22:59:28	18565/18565	---M-Z	200	added ('OK')	text/html	etag:%224885-563573ff7c8d9-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/Projects/2/spec.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/Projects/2/spec.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/contents.html)
22:59:29	3218/3218	---M-Z	200	added ('OK')	text/html	etag:%22c92-563ca965f254f-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/Projects/2/faq.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/Projects/2/faq.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/contents.html)
22:59:30	21741/21741	---M-Z	200	added ('OK')	text/html	etag:%2254ed-56268970430a1-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/Projects/1/spec.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/Projects/1/spec.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/contents.html)
22:59:31	8557/8557	---M-Z	200	added ('OK')	text/html	etag:%22216d-5671777b78532-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/Homeworks/5/spec.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/Homeworks/5/spec.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/contents.html)
22:59:32	18659/18659	---M-Z	200	added ('OK')	text/html	etag:%2248e3-56756fdb65829-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/Homeworks/4/spec.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/Homeworks/4/spec.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/contents.html)
22:59:33	18844/18844	---M-Z	200	added ('OK')	text/html	etag:%22499c-564e6aa3067f5-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/Homeworks/3/spec.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/Homeworks/3/spec.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/contents.html)
22:59:34	18025/18025	---M-Z	200	added ('OK')	text/html	etag:%224669-5640b911b1b38-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/Homeworks/2/spec.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/Homeworks/2/spec.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/contents.html)
22:59:35	33714/33714	---M-Z	200	added ('OK')	text/html	etag:%2283b2-56306a063c876-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/Homeworks/1/spec.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/Homeworks/1/spec.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/contents.html)
22:59:36	3098/3098	---M-Z	200	added ('OK')	text/html	etag:%22c1a-5634f895ec94d-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/Homeworks/1/faq.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/Homeworks/1/faq.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/contents.html)
22:59:37	1604/1604	---M-Z	200	added ('OK')	text/html	etag:%22644-5678809ea6201-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/solutions.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/solutions.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/contents.html)
22:59:38	8305/8305	---M-Z	200	added ('OK')	text/html	etag:%222071-561c713d4e420-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/visualcpp.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/visualcpp.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/contents.html)
22:59:39	5355/5355	---M-Z	200	added ('OK')	text/html	etag:%2214eb-561be7cd38e43-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/xcode.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/xcode.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/contents.html)
22:59:40	10279/10279	---M-Z	200	added ('OK')	text/html	etag:%222827-561d7b0c2bd17-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/linux.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/linux.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/contents.html)
22:59:43	4373/4373	---M-Z	200	added ('OK')	text/html	etag:%221115-50ea3821dc340-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/stringstreams.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/stringstreams.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/contents.html)
22:59:45	11287/11287	---M-Z	200	added ('OK')	text/html	etag:%222c17-566ee136deccd-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/fileio.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/fileio.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/contents.html)
22:59:52	115858/115858	---M--	200	added ('OK')	application/pdf	etag:%221c492-4911b136e8fc0%22	http://web.cs.ucla.edu/classes/winter18/cs32/debuggertalk.pdf	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/debuggertalk.pdf	(from http://web.cs.ucla.edu/classes/winter18/cs32/contents.html)
23:00:31	221979/221979	---M--	200	added ('OK')	application/pdf	etag:%223631b-5176b9f4b3940%22	http://web.cs.ucla.edu/classes/winter18/cs32/Sampleproblems/ChoiFinalPractice.pdf	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/Sampleproblems/ChoiFinalPractice.pdf	(from http://web.cs.ucla.edu/classes/winter18/cs32/announcements.html)
23:00:31	244051/244051	---M--	200	added ('OK')	application/pdf	etag:%223b953-51132d8ddba00%22	http://web.cs.ucla.edu/classes/winter18/cs32/Sampleproblems/ChangFinalPractice.pdf	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/Sampleproblems/ChangFinalPractice.pdf	(from http://web.cs.ucla.edu/classes/winter18/cs32/announcements.html)
23:00:33	246923/246923	---M--	200	added ('OK')	application/pdf	etag:%223c48b-51132d52bae80%22	http://web.cs.ucla.edu/classes/winter18/cs32/Sampleproblems/ChangFinalPracticeSolution.pdf	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/Sampleproblems/ChangFinalPracticeSolution.pdf	(from http://web.cs.ucla.edu/classes/winter18/cs32/announcements.html)
23:00:33	2252/2252	---M-Z	200	added ('OK')	text/html	etag:%228cc-566043fa1f25e-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/Projects/3/possible-design.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/Projects/3/possible-design.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/announcements.html)
23:00:35	252649/252649	---M--	200	added ('OK')	application/pdf	etag:%223dae9-5176b9f5a7b80%22	http://web.cs.ucla.edu/classes/winter18/cs32/Sampleproblems/ChoiFinalPracticeSolution.pdf	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/Sampleproblems/ChoiFinalPracticeSolution.pdf	(from http://web.cs.ucla.edu/classes/winter18/cs32/announcements.html)
23:00:35	5316/5316	---M--	200	added ('OK')	text/x-chdr	etag:%2214c4-56650c337de14%22	http://web.cs.ucla.edu/classes/winter18/cs32/Projects/3/possible-Actor.h	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/Projects/3/possible-Actor.h	(from http://web.cs.ucla.edu/classes/winter18/cs32/announcements.html)
23:00:35	1143/1143	---M--	200	added ('OK')	text/x-chdr	etag:%22477-565fe6793f0c4%22	http://web.cs.ucla.edu/classes/winter18/cs32/Projects/3/possible-StudentWorld.h	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/Projects/3/possible-StudentWorld.h	(from http://web.cs.ucla.edu/classes/winter18/cs32/announcements.html)
23:00:52	76376/76376	---M--	200	added ('OK')	application/pdf	etag:%2212a58-5176babfd5880%22	http://web.cs.ucla.edu/classes/winter18/cs32/Sampleproblems/ChoiMidterm2Practice.pdf	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/Sampleproblems/ChoiMidterm2Practice.pdf	(from http://web.cs.ucla.edu/classes/winter18/cs32/announcements.html)
23:00:53	1298/1298	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Mar%202018%2005:55:23%20GMT	http://web.cs.ucla.edu/classes/winter18/cs32/collectexam.cgi?exam=mt2	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/collectexam9023.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/announcements.html)
23:00:55	1325/1325	---M-Z	200	added ('OK')	text/html	etag:%2252d-5640175d03590-gzip%22	http://web.cs.ucla.edu/classes/winter18/cs32/lata.html	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/lata.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/announcements.html)
23:00:57	134352/134352	---M--	200	added ('OK')	application/pdf	etag:%2220cd0-50f8d2b21e400%22	http://web.cs.ucla.edu/classes/winter18/cs32/Sampleproblems/ChangMidterm2Practice.pdf	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/Sampleproblems/ChangMidterm2Practice.pdf	(from http://web.cs.ucla.edu/classes/winter18/cs32/announcements.html)
23:00:59	96843/96843	---M--	200	added ('OK')	application/pdf	etag:%2217a4b-5176bac0c9ac0%22	http://web.cs.ucla.edu/classes/winter18/cs32/Sampleproblems/ChoiMidterm2PracticeSolution.pdf	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/Sampleproblems/ChoiMidterm2PracticeSolution.pdf	(from http://web.cs.ucla.edu/classes/winter18/cs32/announcements.html)
23:01:02	139903/139903	---M--	200	added ('OK')	application/pdf	etag:%222227f-50f8d2b21e400%22	http://web.cs.ucla.edu/classes/winter18/cs32/Sampleproblems/ChangMidterm2PracticeSolution.pdf	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/Sampleproblems/ChangMidterm2PracticeSolution.pdf	(from http://web.cs.ucla.edu/classes/winter18/cs32/announcements.html)
23:01:06	53647/53647	---M--	200	added ('OK')	application/pdf	etag:%22d18f-50d46a180d500%22	http://web.cs.ucla.edu/classes/winter18/cs32/Sampleproblems/ChangMidterm1Practice.pdf	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/Sampleproblems/ChangMidterm1Practice.pdf	(from http://web.cs.ucla.edu/classes/winter18/cs32/announcements.html)
23:01:07	230/230	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Mar%202018%2005:55:37%20GMT	http://web.cs.ucla.edu/classes/winter18/cs32/collectexam.cgi?exam=mt1	/Users/Ryan/Desktop/CS32winter2018/web.cs.ucla.edu/classes/winter18/cs32/collectexam17a2.html	(from http://web.cs.ucla.edu/classes/winter18/cs32/announcements.html)
